# num time slot (nTimeSlot) 																							
24
# num server type (nTypeServer)																							
1
# num server (nServer)																							
10
# num app (nTypeApp)																							
20
# Target load (ρ)
0.8
# num server for each type (nForEachTypeServer)																							
10
# num frequency for each type of server (nFreqForEachTypeServer)																							
9
# maximum number of servers that host application i (maxServer)																							
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
# maximum number of applications that can be assigned to each server type (maxApp)																							
4
# processing capacity for each server frequency (Capacity)																							
0	519.94	583.07	646.21	709.34	772.48	835.62	898.75	965.6
# cost for each frequency (Cost)																							
0	60	63	66.8	71.3	76.8	83.2	90.7	100
# workload for each app (Workload)																							
552.543	516.507	474.466	450.443	390.384	312.307	366.36	468.46	372.366	324.319	342.336	444.437	486.478	792.779	876.861	810.797	822.808	828.814	798.785	726.714	714.702	702.69	588.578	486.478
10.619	9.578	10.827	9.161	7.287	7.079	8.537	12.909	28.108	59.964	77.246	73.498	68.085	65.17	60.797	63.712	55.592	43.932	32.481	26.443	23.111	20.613	18.114	13.117
101.723	127.948	148.611	137.485	149.405	135.895	152.584	150.2	175.631	172.452	170.068	147.021	129.538	116.028	108.875	93.776	81.855	80.266	73.908	74.703	81.06	77.087	81.855	88.213
51.552	58.712	67.304	54.416	60.144	54.416	55.848	60.144	67.304	73.032	88.784	105.968	115.992	108.832	104.536	110.264	91.648	81.624	98.808	117.424	97.376	90.216	81.624	61.576
101.141	112.459	97.608	98.8	122.438	109.975	91.256	137.337	96.651	110.74	113.032	115.802	144.07	153.05	145.265	122.63	107.637	122.487	129.077	121.722	117.616	104.866	99.23	104.485
7.707	8.289	8.58	8.434	9.888	13.233	17.305	19.195	18.323	16.578	16.287	13.96	13.669	10.615	5.526	3.49	4.217	4.653	5.38	5.09	6.108	9.161	6.253	6.398
7.111	5.968	5.185	4.574	4.245	4.276	4.37	4.48	5.2	5.67	5.78	5.999	5.905	7.002	13.596	9.492	8.615	7.425	8.239	8.521	5.498	5.749	6.046	6.438
0.053	0.052	0.037	0.027	0.04	0.022	0.033	0.067	0.209	0.299	0.283	0.22	0.218	0.18	0.172	0.183	0.181	0.126	0.086	0.132	0.098	0.083	0.059	0.053
5.068	2.868	1.587	1.17	0.863	0.808	1.197	1.977	4.678	7.045	8.66	8.939	10.247	9.83	9.133	9.774	10.331	9.691	7.88	7.268	6.961	7.324	7.658	6.739
3.768	3.454	2.826	2.355	2.198	2.355	2.983	4.396	7.221	9.576	10.518	11.46	10.832	11.617	11.46	10.989	9.733	7.221	5.808	5.965	6.279	6.436	5.808	5.024
1.893	1.561	1.372	1.325	1.419	1.183	1.183	1.325	1.467	1.94	2.46	2.744	2.981	2.839	2.886	2.933	2.791	2.744	1.987	1.798	1.703	1.656	1.798	1.845
2.015	2.062	2.015	1.921	2.202	2.062	2.202	2.39	2.483	2.624	2.343	2.296	2.343	2.249	1.921	1.78	1.734	1.499	1.546	1.359	1.452	1.64	1.499	1.827
0.167	0.18	0.295	0.346	0.436	0.5	0.552	0.667	1.412	2.823	4.362	2.951	5.004	6.031	5.261	2.053	2.951	5.261	5.004	6.672	7.442	5.261	3.977	3.464
20.805	15.96	13.965	11.97	8.265	8.835	9.405	13.11	14.535	15.105	15.675	17.955	19.665	20.52	19.38	20.52	21.375	29.355	27.36	24.795	21.66	20.52	25.08	20.805
8.763	8.125	9.212	21.637	21.135	17.159	18.863	18.437	18	9.569	9.203	9.887	7.842	9.302	10.66	9.426	9.127	8.315	5.95	4.755	6.351	5.81	8.064	8.418
0.333	0.999	0.333	1.332	0.999	3.33	3.33	0.999	0.666	0.333	1.332	1.665	1.332	1.998	0.333	1.332	0.333	1.332	2.664	0.666	0.999	0.666	1.998	0.666
27.53	26.793	19.91	10.324	7.128	8.112	8.603	10.324	9.832	13.028	15.24	10.078	10.324	10.815	10.815	11.061	14.994	17.944	19.91	30.234	22.368	18.681	25.318	24.826
11.889	13.78	14.591	15.401	16.212	22.156	27.29	35.936	30.262	26.749	32.694	32.153	30.262	32.153	22.696	12.969	7.025	9.187	8.106	11.078	10.267	14.32	15.131	11.618
10.166	10.821	11.805	10.493	19.019	31.152	28.529	22.299	24.266	26.889	27.217	24.594	15.74	15.412	16.068	7.214	9.182	8.198	8.526	8.198	8.526	3.935	4.263	3.607
11.37	13.086	15.446	17.377	18.664	6.865	21.024	21.453	20.38	24.027	18.45	19.737	17.806	12.014	13.301	13.73	14.803	17.591	13.73	12.443	10.941	9.225	8.581	7.509
